source_site,food_class,query,recipe_name,ingredients_text,calories,protein,fat,carbs,source_url,scraped_at
bbc_good_food,pizza,vegetable pizza,Winter vegetable & lentil soup,85g dried red lentils 2 carrots quartered lengthways then diced 3 sticks  celery sliced 2  small leeks sliced 2 tbsp tomato purée 1 tbsp fresh thyme leaves 3 large garlic cloves chopped 1 tbsp vegetable bouillon powder 1 heaped tsp ground coriander,264.0,16.0,3.0,37.0,https://www.bbcgoodfood.com/recipes/winter-vegetable-lentil-soup,2026-05-12 00:38:17
bbc_good_food,pizza,vegetable pizza,Slow cooker vegetable curry,"400ml can light coconut milk 3 tbsp mild curry paste 2 tsp vegetable bouillon powder 1 red chilli deseeded and sliced 1 tbsp finely chopped  ginger 3 garlic cloves sliced 200g butternut squash (peeled weight), cut into chunks 1 red pepper deseeded and sliced 1 small aubergine (about 250g), halved and thickly sliced 15g coriander chopped 160g frozen peas defrosted 1 lime juiced, to taste wholemeal flatbread to serve",399.0,11.0,22.0,31.0,https://www.bbcgoodfood.com/recipes/slow-cooker-vegetable-curry,2026-05-12 00:38:19
bbc_good_food,pizza,vegetable pizza,Vegetable stew,"1 tbsp olive oil or rapeseed oil 1 onion finely chopped 3 garlic cloves sliced 1 tsp smoked paprika ½ tsp ground cumin 1 tbsp dried thyme 3 medium  carrots (about 200g), sliced 2 medium celery sticks (about 120g), finely sliced 1 red pepper chopped 1 yellow pepper chopped 2 x 400g cans tomatoes or peeled cherry tomatoes 1 vegetable stock cube made up to 250ml 2 courgettes (about 300g), sliced thickly 2 sprigs fresh thyme 250g cooked puy lentils (we used Merchant Gourmet ready-to-eat puy lentils)",216.0,12.0,5.0,31.0,https://www.bbcgoodfood.com/recipes/vegetarian-casserole,2026-05-12 00:38:22
bbc_good_food,pizza,vegetable pizza,One-pan beef stew with vegetable mash,"2 tbsp rapeseed oil 600g pack lean diced beef 320g large chestnut mushrooms quartered 2 bay leaves 2 tbsp thyme leaves 4 small red onions (320g), quartered 4 garlic cloves thinly sliced 320g medium carrots cut into chunky lengths 600ml vegetable stock made with 1 tbsp vegetable bouillon powder 4 tbsp tomato purée broccoli and/or peas, to serve 700g swede peeled and cut into chunks 850g potatoes peeled and cut into chunks",522.0,39.0,15.0,52.0,https://www.bbcgoodfood.com/recipes/one-pan-beef-stew-with-vegetable-mash,2026-05-12 00:38:24
bbc_good_food,pizza,vegetable pizza,Roasted vegetable cheese & cheat's tomato risotto,1 yellow pepper cut into 1½cm-wide strips 1 red pepper cut into 1½cm-wide strips 2 courgettes cut into 1cm-thick discs 5 tbsp garlic-infused oil 300ml passata 900ml gluten-free vegetable stock 1½ tbsp white wine vinegar 240g dried risotto rice 70g extra mature cheddar grated small handful of  freshly chopped chives,468.0,13.0,22.0,54.0,https://www.bbcgoodfood.com/recipes/roasted-vegetable-cheese-cheats-tomato-risotto,2026-05-12 00:38:25
bbc_good_food,pizza,vegetable pizza,Vegetable paella,1 ½tbsp sunflower oil or vegetable oil 1 large onion finely diced 2 red peppers chopped 3 garlic cloves crushed or finely grated 1tbsp smoked paprika 250g paella rice 125ml white wine (optional) 227g can chopped tomatoes 750ml vegetable stock saffron (optional) 400g butter beans or other beans such as cannellini 200g green beans or long-stem broccoli 2 lemons 1 juiced and 1 cut into wedges,415.0,11.0,7.0,70.0,https://www.bbcgoodfood.com/recipes/vegetable-paella,2026-05-12 00:38:26
bbc_good_food,pizza,vegetable pizza,Roasted vegetables,"1 broccoli head, cut into florets 2 sweet potatoes peeled and diced 2 red peppers cut into chunks 2 courgettes diced 1 red onion cut into thin wedges 200g cherry tomatoes 3 garlic cloves crushed 3 tbsp olive oil",187.0,5.0,7.0,23.0,https://www.bbcgoodfood.com/recipes/easy-roasted-vegetables,2026-05-12 00:38:28
bbc_good_food,pizza,vegetable pizza,Vegetable biryani,"2 tbsp vegetable oil 1small cauliflower broken into small florets 2large sweet potatoes peeled and cubed 1large onion sliced 1l hot vegetable stock 3 tbsp hot curry paste (Madras is good) 1 red chilli seeded and finely chopped large pinch of saffron strands 2 tsp mustard seed (black or white) 500g basmati rice 140g trimmed green bean halved 2 lemons juice only a handful of fresh coriander leaves 50g packet salted roasted cashew nuts poppadums and raita, to serve (optional)",494.0,14.0,12.0,89.0,https://www.bbcgoodfood.com/recipes/spiced-vegetable-biryani,2026-05-12 00:38:30
bbc_good_food,fries,french fries,Korean fried chicken,"500g chicken wings large chunk of ginger peeled and finely grated 50g cornflour vegetable oil for frying sesame seeds and sliced spring onion, to serve 6 tbsp dark brown soft sugar 2 tbsp gochujang (Korean chilli paste) 2 tbsp soy sauce 2 large garlic cloves crushed small piece of ginger peeled and grated 2 tsp sesame oil",487.0,20.0,24.0,48.0,https://www.bbcgoodfood.com/recipes/korean-fried-chicken,2026-05-12 00:38:34
bbc_good_food,fries,french fries,Easy egg-fried rice,"250g long grain rice 3 tbsp vegetable oil 1 onion finely chopped 4 eggs beaten 2 spring onions sliced, to serve",387.0,12.0,14.0,53.0,https://www.bbcgoodfood.com/recipes/egg-fried-rice,2026-05-12 00:38:36
